Time_integration Time_hrs Satellite_index angular_distance  Satellite_range
13152 5.840451249503531 [207] [0.01356133] [1699.94596057] 
13227 5.873785138421226 [477] [0.00288899] [1601.93163824] 
13252 5.884896388335619 [248] [0.01223455] [1754.79009835] 
13277 5.896007638250012 [202] [0.01444788] [1697.8949372] 
13302 5.9071189924143255 [466] [0.0216216] [1189.89108301] 
13377 5.940508333558682 [180] [0.03466183] [1623.29377485] 
13402 5.951619618397672 [489] [0.04673449] [1205.32555789] 
13477 5.984897916088812 [471] [0.01832542] [1191.04673482] 
13515 6.001675973413512 [489] [0.0543933] [1842.85763321] 
13590 6.034898749203421 [226] [0.01236904] [1819.37580559] 
13615 6.045954442466609 [210] [0.06878056] [1577.7361996] 
13752 6.106899861129932 [486] [0.02316671] [1681.39818247] 
13840 6.145955970394425 [604] [0.05701875] [1749.28173659] 
13865 6.157011666102335 [461] [0.0698788] [1905.91784394] 
13878 6.162789584544953 [225] [0.07022935] [1710.58421122] 
13903 6.173845277808141 [629] [0.03384849] [1508.99334274] 
14028 6.2293461100780405 [485] [0.02276443] [1307.56136094] 
14053 6.24042971979361 [603] [0.02510409] [1609.99256482] 
14115 6.268180136801675 [223] [0.06204547] [1808.34223269] 
14228 6.3182919443934225 [3] [0.02818185] [1590.86256186] 
14253 6.329403194307815 [463] [0.03884185] [1246.77289851] 
14278 6.340514583222102 [587] [0.01960759] [1826.58065022] 
14303 6.351570276659913 [211] [0.0231239] [1416.04813165] 
14328 6.362681526574306 [211] [0.02100759] [1504.26504281] 
14353 6.373792776488699 [211] [0.01797988] [1630.55941476] 
14378 6.384904165577609 [211] [0.01532281] [1786.7396174] 
14403 6.396015415492002 [214] [0.02525124] [1364.00539697] 
14428 6.407071108929813 [230] [0.05499779] [1996.73176072] 
14503 6.4404605541494675 [614] [0.02161501] [1484.72907223] 
14641 6.50162819417892 [215] [0.03433475] [1336.58758634] 
14691 6.523850694182329 [215] [0.02542853] [1536.37279679] 
14716 6.534961944096722 [215] [0.06832241] [1689.82394727] 
14741 6.546017776359804 [185] [0.02877062] [1294.0754774] 
14804 6.573907083948143 [185] [0.07565666] [1504.44815284] 
14829 6.585018333862536 [542] [0.06556452] [1872.11305466] 
14916 6.623796665109694 [612] [0.031458] [1274.22397517] 
14941 6.634907915373333 [487] [0.01766051] [1775.02940171] 
14978 6.651352638378739 [195] [0.05597961] [1896.51278056] 
14991 6.657074997376185 [475] [0.06909044] [1568.17952839] 
15016 6.668186247465201 [544] [0.06452894] [1835.49499555] 
15041 6.6792974973795936 [475] [0.04980603] [1898.88683282] 
15054 6.685019861615729 [206] [0.06545353] [1600.06543181] 
15066 6.690408834256232 [206] [0.05867788] [1682.07730834] 
15091 6.701464582351036 [206] [0.03946645] [1866.37628835] 
15104 6.707242361619137 [206] [0.04588563] [1969.60076577] 
15179 6.740520693885628 [465] [0.02133647] [1706.29399093] 
15216 6.757076525129378 [540] [0.06677837] [1730.29066485] 
15241 6.768187775043771 [539] [0.07068184] [1715.89262002] 
15279 6.7850213893689215 [188] [0.06731655] [1542.18931984] 
15304 6.796132639283314 [495] [0.07769859] [1514.99232372] 
15341 6.812632914050482 [323] [0.07115512] [1716.89508029] 
15454 6.862800416944083 [451] [0.07164763] [1681.13428088] 
15504 6.88496736047091 [574] [0.04235905] [1735.47101989] 
